Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,3090.94,3090.94,3090.94,3090.94,000,3090.94
2016-10-20,3084.46,3084.46,3084.46,3084.46,000,3084.46
2016-10-19,3084.72,3084.72,3084.72,3084.72,000,3084.72
2016-10-18,3083.88,3083.88,3083.88,3083.88,000,3083.88
2016-10-14,3063.81,3063.81,3063.81,3063.81,000,3063.81
2016-10-13,3061.35,3061.35,3061.35,3061.35,000,3061.35
2016-10-12,3058.50,3058.50,3058.50,3058.50,000,3058.50
2016-10-11,3065.25,3065.25,3065.25,3065.25,000,3065.25
2016-10-10,3048.14,3048.14,3048.14,3048.14,000,3048.14
2016-09-30,3004.70,3004.70,3004.70,3004.70,000,3004.70
2016-09-29,2998.48,2998.48,2998.48,2998.48,000,2998.48
2016-09-28,2987.86,2987.86,2987.86,2987.86,000,2987.86
2016-09-27,2998.17,2998.17,2998.17,2998.17,000,2998.17
2016-09-26,2980.43,2980.43,2980.43,2980.43,000,2980.43
2016-09-23,3033.90,3033.90,3033.90,3033.90,000,3033.90
2016-09-22,3042.31,3042.31,3042.31,3042.31,000,3042.31
2016-09-21,3025.87,3025.87,3025.87,3025.87,000,3025.87
2016-09-20,3023.00,3023.00,3023.00,3023.00,000,3023.00
2016-09-19,3026.05,3026.05,3026.05,3026.05,000,3026.05
2016-09-14,3002.85,3002.85,3002.85,3002.85,000,3002.85
2016-09-13,3023.51,3023.51,3023.51,3023.51,000,3023.51
2016-09-12,3021.98,3021.98,3021.98,3021.98,000,3021.98
2016-09-09,3078.85,3078.85,3078.85,3078.85,000,3078.85
2016-09-08,3095.95,3095.95,3095.95,3095.95,000,3095.95
2016-09-07,3091.93,3091.93,3091.93,3091.93,000,3091.93
2016-09-06,3090.71,3090.71,3090.71,3090.71,000,3090.71
2016-09-05,3072.10,3072.10,3072.10,3072.10,000,3072.10
2016-09-01,3063.31,3063.31,3063.31,3063.31,000,3063.31
2016-08-31,3085.49,3085.49,3085.49,3085.49,000,3085.49
2016-08-30,3074.68,3074.68,3074.68,3074.68,000,3074.68
2016-08-29,3070.03,3070.03,3070.03,3070.03,000,3070.03
2016-08-26,3070.31,3070.31,3070.31,3070.31,000,3070.31
2016-08-25,3068.33,3068.33,3068.33,3068.33,000,3068.33
2016-08-24,3085.88,3085.88,3085.88,3085.88,000,3085.88
2016-08-23,3089.71,3089.71,3089.71,3089.71,000,3089.71
2016-08-22,3084.81,3084.81,3084.81,3084.81,000,3084.81
2016-08-19,3108.10,3108.10,3108.10,3108.10,000,3108.10
2016-08-18,3104.11,3104.11,3104.11,3104.11,000,3104.11
2016-08-17,3109.55,3109.55,3109.55,3109.55,000,3109.55
