Date,Close,Index_predicted,Return,mean_of_group,r_cat,top_pred,top_prob
2017-04-13,3275.96,3228.1912637999976,0.0006506141125226517,0.0013940634575438315,"(-0.000124, 0.00384]",-0.013940472229774408,0.7053754329681396
2017-04-14,3246.07,3294.6458688775365,-0.009124043028608364,-0.0098382157260545,"(-0.012, -0.00804]",0.005703936823873401,0.4815003573894501
2017-04-17,3222.17,3226.543450009939,-0.007362749416987335,-0.006015443286824101,"(-0.00804, -0.00408]",-0.006015443286824101,0.4729931354522705
2017-04-18,3196.71,3215.7989259349665,-0.007901507369257321,-0.006015443286824101,"(-0.00804, -0.00408]",-0.0019772619275313257,0.8304855227470398
2017-04-19,3170.69,3165.2600774063644,-0.008139618545316862,-0.0098382157260545,"(-0.012, -0.00804]",-0.0098382157260545,0.6007723212242126
2017-04-20,3172.1,3175.1101430641997,0.0004446981571835096,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.6404192447662354
2017-04-21,3173.15,3215.4097979164167,0.00033101100217525214,0.0013940634575438315,"(-0.000124, 0.00384]",0.013653352011732544,0.81070876121521
2017-04-24,3129.53,3128.9147905440914,-0.013746592502718036,-0.013940472229774408,"(-0.016, -0.012]",-0.013940472229774408,0.5295220613479614
2017-04-25,3134.57,3110.7044897705855,0.0016104654692556952,0.0013940634575438315,"(-0.000124, 0.00384]",-0.006015443286824101,0.8757785558700562
2017-04-26,3140.85,3128.3721340798184,0.0020034645900393055,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0019772619275313257,0.964570939540863
2017-04-27,3152.19,3097.065067797113,0.003610487606858115,0.0013940634575438315,"(-0.000124, 0.00384]",-0.013940472229774408,0.7465211749076843
2017-04-28,3154.66,3156.584352890235,0.000783582207925182,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.9999474287033081
2017-05-02,3143.71,3148.422410887694,-0.0034710555178687486,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.0019772619275313257,0.991238534450531
2017-05-03,3135.35,3174.1482752348884,-0.002659278368551843,-0.0019772619275313257,"(-0.00408, -0.000124]",0.009682278338297186,0.9826012253761292
2017-05-04,3127.37,3139.7208768616097,-0.0025451703956496097,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9728482961654663
2017-05-05,3103.04,3131.7297522352187,-0.007779699875614332,-0.006015443286824101,"(-0.00804, -0.00408]",0.0013940634575438315,0.9479104280471802
2017-05-08,3078.61,3133.08449697487,-0.007872924615860533,-0.006015443286824101,"(-0.00804, -0.00408]",0.009682278338297186,0.8095055222511292
2017-05-09,3080.53,3082.901777701029,0.0006236580794578561,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.39820027351379395
2017-05-10,3052.78,3061.99924649164,-0.009008190149097706,-0.0098382157260545,"(-0.012, -0.00804]",-0.006015443286824101,0.6175971627235413
2017-05-11,3061.5,3046.7438543328713,0.0028564128433754554,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0019772619275313257,0.956290602684021
2017-05-12,3083.51,3091.142295132697,0.007189286297566655,0.005703936823873401,"(0.00384, 0.0078]",0.009682278338297186,0.9191211462020874
2017-05-15,3090.23,3053.173763426554,0.0021793345894776106,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0098382157260545,0.630720853805542
2017-05-16,3112.96,3107.856476691238,0.007355439562751087,0.005703936823873401,"(0.00384, 0.0078]",0.005703936823873401,0.7520758509635925
2017-05-17,3104.44,3143.100545175986,-0.0027369449013158187,-0.0019772619275313257,"(-0.00408, -0.000124]",0.009682278338297186,0.9519587159156799
2017-05-18,3090.14,3134.4980521645434,-0.0046063058071665886,-0.006015443286824101,"(-0.00804, -0.00408]",0.009682278338297186,0.7214494943618774
2017-05-19,3090.63,3120.059595584306,0.00015856886742993126,0.0013940634575438315,"(-0.000124, 0.00384]",0.009682278338297186,0.9330480098724365
2017-05-22,3075.68,3072.038490514443,-0.00483720147672162,-0.006015443286824101,"(-0.00804, -0.00408]",-0.006015443286824101,0.8999155759811401
2017-05-23,3061.95,3105.459589839534,-0.0044640534776049234,-0.006015443286824101,"(-0.00804, -0.00408]",0.009682278338297186,0.9993137121200562
2017-05-24,3064.08,3043.531013427909,0.0006956351344731271,0.0013940634575438315,"(-0.000124, 0.00384]",-0.006015443286824101,0.5280733704566956
2017-05-25,3107.83,3058.02151127309,0.01427834782381665,0.013653352011732544,"(0.0118, 0.0157]",-0.0019772619275313257,0.738594114780426
2017-05-26,3110.06,3112.1625122352584,0.000717542465321408,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.9998667240142822
2017-05-31,3117.18,3103.910596769662,0.0022893449000982447,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0019772619275313257,0.995806097984314
2017-06-01,3102.62,3086.512510703057,-0.004670888431210218,-0.006015443286824101,"(-0.00804, -0.00408]",-0.0098382157260545,0.953789234161377
2017-06-02,3105.54,3106.9452491646443,0.0009411400687160398,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.5202919244766235
2017-06-05,3091.66,3099.399533993574,-0.0044694320472445925,-0.006015443286824101,"(-0.00804, -0.00408]",-0.0019772619275313257,0.7515897154808044
2017-06-06,3102.13,3095.9699702291496,0.0033865302135422937,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.9755649566650391
2017-06-07,3140.32,3095.996276456747,0.012310896061738186,0.013653352011732544,"(0.0118, 0.0157]",-0.0019772619275313257,0.9550737738609314
2017-06-08,3150.33,3170.725452311322,0.003187573240943431,0.0013940634575438315,"(-0.000124, 0.00384]",0.009682278338297186,0.7775861620903015
2017-06-09,3158.4,3144.10097243184,0.002561636399996292,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0019772619275313257,0.9977668523788452
2017-06-12,3139.88,3127.3269794508296,-0.005863728470111407,-0.006015443286824101,"(-0.00804, -0.00408]",-0.0098382157260545,0.884188175201416
2017-06-13,3153.74,3133.671634818983,0.004414181433685327,0.005703936823873401,"(0.00384, 0.0078]",-0.0019772619275313257,0.6506145000457764
2017-06-14,3130.67,3147.504229968667,-0.007315124265158124,-0.006015443286824101,"(-0.00804, -0.00408]",-0.0019772619275313257,0.9146881699562073
2017-06-15,3132.49,3148.527143896396,0.0005813452072558345,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.536058247089386
2017-06-16,3123.17,3126.2962467846273,-0.0029752688755589896,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.0019772619275313257,0.7652784585952759
2017-06-19,3144.37,3104.3827479898896,0.006787975038182292,0.005703936823873401,"(0.00384, 0.0078]",-0.006015443286824101,0.8594306111335754
2017-06-20,3140.01,3138.152756912928,-0.0013866052659196049,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.0019772619275313257,0.5511918067932129
2017-06-21,3156.21,3144.387373197322,0.0051592192381553215,0.005703936823873401,"(0.00384, 0.0078]",0.0013940634575438315,0.7359294295310974
2017-06-22,3147.45,3160.609957025334,-0.0027754807189636077,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9878971576690674
2017-06-23,3157.87,3151.837745029446,0.003310616530842525,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.7728005051612854
