idx_time,time,price,pchange,change,volume,amount,type,date,date_time
09:25:03,09:25:03,0.0,-100.00,0.0,0,0,0,2017-06-27,2017-06-27 09:25:03
09:30:00,09:30:00,0.0,-100.00,0.0,0,0,??,2017-06-27,2017-06-27 09:30:00
09:30:03,09:30:03,19.59,-0.05,19.59,71,139089,??,2017-06-27,2017-06-27 09:30:03
09:30:06,09:30:06,19.59,-0.05,0.0,10,19590,??,2017-06-27,2017-06-27 09:30:06
09:30:27,09:30:27,19.58,-0.10,-0.01,4,7832,???,2017-06-27,2017-06-27 09:30:27
09:30:30,09:30:30,19.58,-0.10,0.0,2,3916,??,2017-06-27,2017-06-27 09:30:30
09:30:33,09:30:33,19.58,-0.10,0.0,2,3916,??,2017-06-27,2017-06-27 09:30:33
09:30:36,09:30:36,19.58,-0.10,0.0,9,17622,??,2017-06-27,2017-06-27 09:30:36
09:30:57,09:30:57,19.58,-0.10,0.0,10,19580,??,2017-06-27,2017-06-27 09:30:57
09:31:21,09:31:21,19.56,-0.20,-0.02,67,131052,???,2017-06-27,2017-06-27 09:31:21
09:31:30,09:31:30,19.56,-0.20,0.0,4,7824,??,2017-06-27,2017-06-27 09:31:30
09:31:33,09:31:33,19.58,-0.10,0.02,3,5874,??,2017-06-27,2017-06-27 09:31:33
09:31:54,09:31:54,19.59,-0.05,0.01,32,62688,??,2017-06-27,2017-06-27 09:31:54
09:32:00,09:32:00,19.58,-0.10,-0.01,1,1958,??,2017-06-27,2017-06-27 09:32:00
09:32:06,09:32:06,19.59,-0.05,0.01,10,19590,??,2017-06-27,2017-06-27 09:32:06
09:32:15,09:32:15,19.59,-0.05,0.0,13,25467,??,2017-06-27,2017-06-27 09:32:15
09:32:21,09:32:21,19.59,-0.05,0.0,20,39180,??,2017-06-27,2017-06-27 09:32:21
09:32:27,09:32:27,19.59,-0.05,0.0,34,66606,??,2017-06-27,2017-06-27 09:32:27
09:32:30,09:32:30,19.59,-0.05,0.0,13,25467,??,2017-06-27,2017-06-27 09:32:30
09:32:33,09:32:33,19.61,+0.05,0.02,11,21571,??,2017-06-27,2017-06-27 09:32:33
09:32:42,09:32:42,19.61,+0.05,0.0,5,9805,??,2017-06-27,2017-06-27 09:32:42
09:32:48,09:32:48,19.61,+0.05,0.0,2,3922,??,2017-06-27,2017-06-27 09:32:48
09:32:51,09:32:51,19.61,+0.05,0.0,3,5883,??,2017-06-27,2017-06-27 09:32:51
09:32:54,09:32:54,19.61,+0.05,0.0,5,9805,??,2017-06-27,2017-06-27 09:32:54
09:32:57,09:32:57,19.62,+0.10,0.01,4,7848,???,2017-06-27,2017-06-27 09:32:57
09:33:00,09:33:00,19.62,+0.10,0.0,1,1962,??,2017-06-27,2017-06-27 09:33:00
09:33:03,09:33:03,19.62,+0.10,0.0,1,1962,??,2017-06-27,2017-06-27 09:33:03
09:33:06,09:33:06,19.62,+0.10,0.0,6,11772,??,2017-06-27,2017-06-27 09:33:06
09:33:09,09:33:09,19.62,+0.10,0.0,23,45126,??,2017-06-27,2017-06-27 09:33:09
09:33:12,09:33:12,19.62,+0.10,0.0,3,5886,??,2017-06-27,2017-06-27 09:33:12
09:33:15,09:33:15,19.62,+0.10,0.0,1,1962,??,2017-06-27,2017-06-27 09:33:15
09:33:18,09:33:18,19.64,+0.20,0.02,22,43208,??,2017-06-27,2017-06-27 09:33:18
09:33:30,09:33:30,19.64,+0.20,0.0,5,9820,??,2017-06-27,2017-06-27 09:33:30
09:33:33,09:33:33,19.64,+0.20,0.0,15,29460,??,2017-06-27,2017-06-27 09:33:33
09:33:48,09:33:48,19.62,+0.10,-0.02,7,13734,??,2017-06-27,2017-06-27 09:33:48
09:33:51,09:33:51,19.64,+0.20,0.02,3,5892,??,2017-06-27,2017-06-27 09:33:51
09:33:57,09:33:57,19.64,+0.20,0.0,7,13748,??,2017-06-27,2017-06-27 09:33:57
09:34:00,09:34:00,19.63,+0.15,-0.01,2,3926,??,2017-06-27,2017-06-27 09:34:00
09:34:03,09:34:03,19.63,+0.15,0.0,8,15704,??,2017-06-27,2017-06-27 09:34:03
09:34:09,09:34:09,19.63,+0.15,0.0,63,123669,??,2017-06-27,2017-06-27 09:34:09
09:34:18,09:34:18,19.58,-0.10,-0.05,12,23496,??,2017-06-27,2017-06-27 09:34:18
09:34:24,09:34:24,19.63,+0.15,0.05,18,35334,??,2017-06-27,2017-06-27 09:34:24
09:34:33,09:34:33,19.63,+0.15,0.0,32,62816,??,2017-06-27,2017-06-27 09:34:33
09:34:39,09:34:39,19.63,+0.15,0.0,5,9815,??,2017-06-27,2017-06-27 09:34:39
09:34:48,09:34:48,19.58,-0.10,-0.05,2,3916,??,2017-06-27,2017-06-27 09:34:48
09:34:54,09:34:54,19.59,-0.05,0.01,3,5877,???,2017-06-27,2017-06-27 09:34:54
09:34:57,09:34:57,19.59,-0.05,0.0,3,5877,??,2017-06-27,2017-06-27 09:34:57
09:35:00,09:35:00,19.52,-0.41,-0.07,120,234240,??,2017-06-27,2017-06-27 09:35:00
09:35:09,09:35:09,19.53,-0.36,0.01,1,1953,???,2017-06-27,2017-06-27 09:35:09
09:35:18,09:35:18,19.56,-0.20,0.03,4,7824,???,2017-06-27,2017-06-27 09:35:18
09:35:48,09:35:48,19.58,-0.10,0.02,2,3916,???,2017-06-27,2017-06-27 09:35:48
09:35:51,09:35:51,19.56,-0.20,-0.02,22,43032,??,2017-06-27,2017-06-27 09:35:51
09:36:03,09:36:03,19.56,-0.20,0.0,2,3912,??,2017-06-27,2017-06-27 09:36:03
09:36:09,09:36:09,19.56,-0.20,0.0,27,52812,??,2017-06-27,2017-06-27 09:36:09
09:36:15,09:36:15,19.6,0.00,0.04,5,9800,??,2017-06-27,2017-06-27 09:36:15
09:36:24,09:36:24,19.63,+0.15,0.03,180,353340,??,2017-06-27,2017-06-27 09:36:24
09:36:42,09:36:42,19.64,+0.20,0.01,15,29460,??,2017-06-27,2017-06-27 09:36:42
09:36:54,09:36:54,19.64,+0.20,0.0,16,31424,??,2017-06-27,2017-06-27 09:36:54
09:37:00,09:37:00,19.68,+0.41,0.04,70,137760,??,2017-06-27,2017-06-27 09:37:00
09:37:03,09:37:03,19.68,+0.41,0.0,46,90528,??,2017-06-27,2017-06-27 09:37:03
09:37:06,09:37:06,19.68,+0.41,0.0,1,1968,??,2017-06-27,2017-06-27 09:37:06
09:37:09,09:37:09,19.68,+0.41,0.0,1,1968,??,2017-06-27,2017-06-27 09:37:09
09:37:15,09:37:15,19.68,+0.41,0.0,10,19680,??,2017-06-27,2017-06-27 09:37:15
09:37:21,09:37:21,19.68,+0.41,0.0,160,314880,??,2017-06-27,2017-06-27 09:37:21
09:37:27,09:37:27,19.68,+0.41,0.0,5,9840,??,2017-06-27,2017-06-27 09:37:27
09:37:30,09:37:30,19.69,+0.46,0.01,1,1969,??,2017-06-27,2017-06-27 09:37:30
09:37:33,09:37:33,19.68,+0.41,-0.01,21,41328,??,2017-06-27,2017-06-27 09:37:33
09:37:39,09:37:39,19.68,+0.41,0.0,20,39360,??,2017-06-27,2017-06-27 09:37:39
09:37:45,09:37:45,19.69,+0.46,0.01,9,17721,??,2017-06-27,2017-06-27 09:37:45
09:37:48,09:37:48,19.68,+0.41,-0.01,17,33456,??,2017-06-27,2017-06-27 09:37:48
09:37:54,09:37:54,19.69,+0.46,0.01,11,21659,??,2017-06-27,2017-06-27 09:37:54
09:37:57,09:37:57,19.68,+0.41,-0.01,12,23616,??,2017-06-27,2017-06-27 09:37:57
09:38:06,09:38:06,19.69,+0.46,0.01,29,57101,??,2017-06-27,2017-06-27 09:38:06
09:38:12,09:38:12,19.69,+0.46,0.0,10,19690,??,2017-06-27,2017-06-27 09:38:12
09:38:18,09:38:18,19.68,+0.41,-0.01,15,29520,??,2017-06-27,2017-06-27 09:38:18
09:38:21,09:38:21,19.68,+0.41,0.0,25,49200,??,2017-06-27,2017-06-27 09:38:21
09:38:27,09:38:27,19.68,+0.41,0.0,55,108240,??,2017-06-27,2017-06-27 09:38:27
09:38:30,09:38:30,19.69,+0.46,0.01,5,9845,??,2017-06-27,2017-06-27 09:38:30
09:38:33,09:38:33,19.68,+0.41,-0.01,5,9840,??,2017-06-27,2017-06-27 09:38:33
09:38:36,09:38:36,19.68,+0.41,0.0,10,19680,??,2017-06-27,2017-06-27 09:38:36
09:38:39,09:38:39,19.68,+0.41,0.0,56,110208,??,2017-06-27,2017-06-27 09:38:39
09:38:39,09:38:39,19.68,+0.41,0.0,56,110208,???,2017-06-27,2017-06-27 09:38:39
09:38:39,09:38:39,19.68,+0.41,0.0,56,110208,??,2017-06-27,2017-06-27 09:38:39
09:38:42,09:38:42,19.68,+0.41,0.0,4,7872,??,2017-06-27,2017-06-27 09:38:42
09:39:06,09:39:06,19.68,+0.41,0.0,20,39360,??,2017-06-27,2017-06-27 09:39:06
09:39:15,09:39:15,19.6,0.00,-0.08,120,235200,??,2017-06-27,2017-06-27 09:39:15
09:39:21,09:39:21,19.64,+0.20,0.04,15,29460,??,2017-06-27,2017-06-27 09:39:21
09:39:24,09:39:24,19.68,+0.41,0.04,6,11808,??,2017-06-27,2017-06-27 09:39:24
09:39:42,09:39:42,19.62,+0.10,-0.06,1,1962,???,2017-06-27,2017-06-27 09:39:42
09:40:21,09:40:21,19.65,+0.26,0.03,11,21615,???,2017-06-27,2017-06-27 09:40:21
09:40:42,09:40:42,19.62,+0.10,-0.03,18,35316,??,2017-06-27,2017-06-27 09:40:42
09:40:57,09:40:57,19.66,+0.31,0.04,4,7864,??,2017-06-27,2017-06-27 09:40:57
09:41:09,09:41:09,19.6,0.00,-0.06,121,237160,??,2017-06-27,2017-06-27 09:41:09
