idx_time,time,price,change,volume,amount,type,date,date_time
09:25:03,09:25:03,6.45,6.45,1172,755940,买盘,2017-08-03,2017-08-03 09:25:03
09:30:03,09:30:03,6.48,0.03,364,235872,买盘,2017-08-03,2017-08-03 09:30:03
09:30:06,09:30:06,6.5,0.02,2734,1777490,买盘,2017-08-03,2017-08-03 09:30:06
09:30:09,09:30:09,6.5,--,178,115700,卖盘,2017-08-03,2017-08-03 09:30:09
09:30:12,09:30:12,6.54,0.04,40,26160,买盘,2017-08-03,2017-08-03 09:30:12
09:30:15,09:30:15,6.5,-0.04,448,291200,卖盘,2017-08-03,2017-08-03 09:30:15
09:30:18,09:30:18,6.5,--,80,52000,卖盘,2017-08-03,2017-08-03 09:30:18
09:30:24,09:30:24,6.51,0.01,4,2604,中性盘,2017-08-03,2017-08-03 09:30:24
09:30:27,09:30:27,6.51,--,107,69657,卖盘,2017-08-03,2017-08-03 09:30:27
09:30:30,09:30:30,6.54,0.03,174,113796,买盘,2017-08-03,2017-08-03 09:30:30
09:30:33,09:30:33,6.51,-0.03,83,54033,卖盘,2017-08-03,2017-08-03 09:30:33
09:30:36,09:30:36,6.53,0.02,54,35262,买盘,2017-08-03,2017-08-03 09:30:36
09:30:39,09:30:39,6.53,--,8,5224,买盘,2017-08-03,2017-08-03 09:30:39
09:30:42,09:30:42,6.51,-0.02,50,32550,卖盘,2017-08-03,2017-08-03 09:30:42
09:30:45,09:30:45,6.53,0.02,122,79666,买盘,2017-08-03,2017-08-03 09:30:45
09:30:48,09:30:48,6.53,--,53,34609,买盘,2017-08-03,2017-08-03 09:30:48
09:30:51,09:30:51,6.53,--,178,116234,买盘,2017-08-03,2017-08-03 09:30:51
09:30:54,09:30:54,6.52,-0.01,297,193644,买盘,2017-08-03,2017-08-03 09:30:54
09:30:57,09:30:57,6.52,--,48,31295,买盘,2017-08-03,2017-08-03 09:30:57
09:31:00,09:31:00,6.53,0.01,532,347396,买盘,2017-08-03,2017-08-03 09:31:00
09:31:03,09:31:03,6.52,-0.01,13,8476,卖盘,2017-08-03,2017-08-03 09:31:03
09:31:06,09:31:06,6.51,-0.01,212,138012,卖盘,2017-08-03,2017-08-03 09:31:06
09:31:09,09:31:09,6.51,--,241,156891,卖盘,2017-08-03,2017-08-03 09:31:09
09:31:12,09:31:12,6.52,0.01,108,70416,买盘,2017-08-03,2017-08-03 09:31:12
09:31:15,09:31:15,6.53,0.01,407,265771,买盘,2017-08-03,2017-08-03 09:31:15
09:31:18,09:31:18,6.53,--,100,65300,买盘,2017-08-03,2017-08-03 09:31:18
09:31:21,09:31:21,6.53,--,467,304951,买盘,2017-08-03,2017-08-03 09:31:21
09:31:24,09:31:24,6.52,-0.01,15,9780,中性盘,2017-08-03,2017-08-03 09:31:24
09:31:27,09:31:27,6.52,--,10,6520,卖盘,2017-08-03,2017-08-03 09:31:27
09:31:30,09:31:30,6.52,--,274,178648,卖盘,2017-08-03,2017-08-03 09:31:30
09:31:33,09:31:33,6.52,--,11,7171,卖盘,2017-08-03,2017-08-03 09:31:33
09:31:36,09:31:36,6.52,--,211,137572,卖盘,2017-08-03,2017-08-03 09:31:36
09:31:39,09:31:39,6.51,-0.01,128,83328,卖盘,2017-08-03,2017-08-03 09:31:39
09:31:45,09:31:45,6.53,0.02,370,241610,买盘,2017-08-03,2017-08-03 09:31:45
09:31:48,09:31:48,6.52,-0.01,90,58679,买盘,2017-08-03,2017-08-03 09:31:48
09:31:51,09:31:51,6.51,-0.01,30,19530,卖盘,2017-08-03,2017-08-03 09:31:51
09:31:54,09:31:54,6.52,0.01,136,88672,买盘,2017-08-03,2017-08-03 09:31:54
09:31:57,09:31:57,6.52,--,264,172128,买盘,2017-08-03,2017-08-03 09:31:57
09:32:00,09:32:00,6.52,--,260,169520,买盘,2017-08-03,2017-08-03 09:32:00
09:32:03,09:32:03,6.51,-0.01,50,32550,卖盘,2017-08-03,2017-08-03 09:32:03
09:32:06,09:32:06,6.51,--,100,65100,卖盘,2017-08-03,2017-08-03 09:32:06
09:32:12,09:32:12,6.52,0.01,251,163652,买盘,2017-08-03,2017-08-03 09:32:12
09:32:15,09:32:15,6.52,--,67,43684,卖盘,2017-08-03,2017-08-03 09:32:15
09:32:18,09:32:18,6.51,-0.01,96,62496,卖盘,2017-08-03,2017-08-03 09:32:18
09:32:21,09:32:21,6.52,0.01,91,59331,买盘,2017-08-03,2017-08-03 09:32:21
09:32:24,09:32:24,6.52,--,22,14343,卖盘,2017-08-03,2017-08-03 09:32:24
09:32:27,09:32:27,6.53,0.01,73,47669,买盘,2017-08-03,2017-08-03 09:32:27
09:32:30,09:32:30,6.53,--,23,15019,买盘,2017-08-03,2017-08-03 09:32:30
09:32:33,09:32:33,6.51,-0.02,27,17577,卖盘,2017-08-03,2017-08-03 09:32:33
09:32:36,09:32:36,6.51,--,76,49476,卖盘,2017-08-03,2017-08-03 09:32:36
09:32:39,09:32:39,6.52,0.01,101,65852,买盘,2017-08-03,2017-08-03 09:32:39
09:32:42,09:32:42,6.52,--,85,55420,卖盘,2017-08-03,2017-08-03 09:32:42
09:32:45,09:32:45,6.52,--,200,130399,卖盘,2017-08-03,2017-08-03 09:32:45
09:32:48,09:32:48,6.53,0.01,274,178922,买盘,2017-08-03,2017-08-03 09:32:48
09:32:51,09:32:51,6.53,--,60,39180,买盘,2017-08-03,2017-08-03 09:32:51
09:32:54,09:32:54,6.53,--,30,19590,买盘,2017-08-03,2017-08-03 09:32:54
09:32:57,09:32:57,6.54,0.01,351,229554,买盘,2017-08-03,2017-08-03 09:32:57
09:33:00,09:33:00,6.55,0.01,230,150650,买盘,2017-08-03,2017-08-03 09:33:00
09:33:09,09:33:09,6.55,--,125,81875,买盘,2017-08-03,2017-08-03 09:33:09
09:33:12,09:33:12,6.55,--,499,327238,买盘,2017-08-03,2017-08-03 09:33:12
09:33:15,09:33:15,6.57,0.02,479,314703,买盘,2017-08-03,2017-08-03 09:33:15
09:33:18,09:33:18,6.57,--,105,68985,买盘,2017-08-03,2017-08-03 09:33:18
09:33:21,09:33:21,6.56,-0.01,540,354240,卖盘,2017-08-03,2017-08-03 09:33:21
09:33:24,09:33:24,6.6,0.04,720,475200,买盘,2017-08-03,2017-08-03 09:33:24
09:33:27,09:33:27,6.59,-0.01,45,29655,中性盘,2017-08-03,2017-08-03 09:33:27
09:33:30,09:33:30,6.65,0.06,775,515375,买盘,2017-08-03,2017-08-03 09:33:30
09:33:33,09:33:33,6.6,-0.05,425,280500,中性盘,2017-08-03,2017-08-03 09:33:33
09:33:36,09:33:36,6.6,--,30,19800,卖盘,2017-08-03,2017-08-03 09:33:36
09:33:39,09:33:39,6.65,0.05,190,126350,买盘,2017-08-03,2017-08-03 09:33:39
09:33:42,09:33:42,6.65,--,210,139650,买盘,2017-08-03,2017-08-03 09:33:42
09:33:45,09:33:45,6.64,-0.01,50,33200,中性盘,2017-08-03,2017-08-03 09:33:45
09:33:48,09:33:48,6.65,0.01,286,190323,买盘,2017-08-03,2017-08-03 09:33:48
09:33:51,09:33:51,6.65,--,283,188195,卖盘,2017-08-03,2017-08-03 09:33:51
09:33:54,09:33:54,6.67,0.02,737,491579,买盘,2017-08-03,2017-08-03 09:33:54
09:33:57,09:33:57,6.65,-0.02,405,269857,卖盘,2017-08-03,2017-08-03 09:33:57
09:34:00,09:34:00,6.65,--,484,321860,买盘,2017-08-03,2017-08-03 09:34:00
09:34:03,09:34:03,6.67,0.02,470,313623,买盘,2017-08-03,2017-08-03 09:34:03
09:34:06,09:34:06,6.64,-0.03,612,406899,卖盘,2017-08-03,2017-08-03 09:34:06
09:34:09,09:34:09,6.65,0.01,305,202825,买盘,2017-08-03,2017-08-03 09:34:09
09:34:12,09:34:12,6.65,--,415,275975,买盘,2017-08-03,2017-08-03 09:34:12
09:34:15,09:34:15,6.65,--,887,589855,卖盘,2017-08-03,2017-08-03 09:34:15
09:34:18,09:34:18,6.62,-0.03,343,227066,卖盘,2017-08-03,2017-08-03 09:34:18
09:34:21,09:34:21,6.62,--,348,230376,买盘,2017-08-03,2017-08-03 09:34:21
09:34:24,09:34:24,6.65,0.03,733,487445,买盘,2017-08-03,2017-08-03 09:34:24
